district_area_maharashtra,nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,crop_label
Sangli,89,30,59,28.85,52.56,6.7,1158.6,pomegranate
Pune,44,91,177,30.86,63.08,5.65,632.87,mothbeans
Bhandara,61,85,81,24.18,41.66,5.57,211.08,pigeonpeas
Parbhani,19,91,133,26.19,79.46,6.65,515.68,apple
Nanded,46,122,171,20.28,74.65,6.28,995.83,mungbean
Satara,34,66,174,31.79,84.85,6.32,1079.5,kidneybeans
Dhule,132,5,82,21.23,58.07,5.88,292.83,mothbeans
Pune,50,145,189,23.12,70.69,6.01,672.77,muskmelon
Sangli,36,138,50,20.72,78.46,6.15,777.85,grapes
Kolhapur,13,97,61,33.64,57.47,7.05,315.76,maize
Osmanabad,90,16,172,23.29,49.65,6.83,557.19,papaya
Dhule,15,102,77,21.99,88.54,5.87,716.75,orange
Nashik,104,24,139,25.53,40.39,6.53,620.14,blackgram
Solapur,70,36,145,26.75,54.49,6.73,630.83,mungbean
Satara,97,80,119,22.32,46.49,7.0,651.78,muskmelon
Dhule,17,115,174,22.85,89.11,5.51,444.22,lentil
Bhandara,93,12,27,33.89,72.65,5.75,778.41,papaya
Aurangabad,119,125,86,30.44,87.72,6.99,1167.45,muskmelon
Solapur,102,102,29,33.18,69.44,6.68,780.6,papaya
Satara,96,112,9,21.52,79.45,6.87,1175.98,maize
Latur,106,6,205,30.31,67.48,5.62,1089.18,watermelon
Nashik,57,20,75,26.29,73.39,5.72,126.65,mothbeans
Akola,16,33,100,34.59,84.01,6.67,919.85,blackgram
Osmanabad,118,65,169,25.42,59.59,6.04,575.25,jute
Pune,113,29,53,30.57,89.77,5.54,144.42,kidneybeans
Parbhani,60,84,75,33.5,46.56,6.32,718.04,mothbeans
Parbhani,7,85,201,26.24,73.7,7.47,298.79,chickpea
Solapur,101,114,35,31.62,73.31,6.15,491.49,mango
Aurangabad,103,40,124,31.12,41.66,7.11,817.77,chickpea
Nagpur,41,120,199,30.29,48.16,5.67,227.33,blackgram
Satara,108,73,120,30.11,87.32,5.5,489.83,papaya
Beed,95,97,81,23.25,81.52,5.77,1099.93,rice
Amravati,97,105,152,20.21,76.74,6.23,410.06,chickpea
Satara,55,51,77,25.65,74.29,5.67,286.84,blackgram
Akola,4,108,137,31.18,73.3,5.95,1028.16,maize
Ahmednagar,8,135,171,29.12,47.43,6.67,1168.37,watermelon
Bhandara,29,55,143,30.7,56.21,6.74,745.14,grapes
Akola,101,60,58,22.86,44.61,6.35,152.77,papaya
Beed,111,136,70,31.37,76.22,5.88,371.77,muskmelon
Pune,45,111,188,25.6,89.78,6.96,407.18,muskmelon
Nanded,43,136,107,32.35,68.71,5.59,1116.22,maize
Satara,12,13,205,24.53,59.29,7.13,491.9,jute
Wardha,140,119,117,32.24,47.13,6.67,1025.41,papaya
Latur,39,38,163,34.64,51.19,5.95,477.65,mothbeans
Jalgaon,11,68,34,32.61,67.06,6.98,494.12,pigeonpeas
Nanded,65,9,50,24.29,45.05,6.02,686.19,apple
Nagpur,16,74,84,24.99,46.59,5.74,111.23,rice
Bhandara,21,90,170,28.51,63.32,5.9,853.49,apple
Osmanabad,140,80,185,34.08,50.08,6.23,468.39,cotton
Amravati,57,46,91,32.56,43.96,6.36,949.46,blackgram
Amravati,107,64,13,24.43,43.53,6.82,1192.71,blackgram
Aurangabad,57,28,141,34.71,70.91,6.33,311.1,blackgram
Osmanabad,14,64,162,28.47,79.86,6.4,944.48,lentil
Bhandara,75,13,127,20.08,72.18,6.25,166.88,mungbean
Wardha,3,116,77,28.92,63.5,6.43,547.0,apple
Beed,5,89,181,34.75,73.31,5.82,265.24,grapes
Akola,72,33,138,20.55,40.53,7.4,552.68,lentil
Nanded,51,137,196,25.59,49.26,5.93,864.27,coffee
Nanded,96,81,167,29.75,60.04,7.5,1130.45,rice
Nanded,69,76,6,34.16,79.22,7.29,190.42,mungbean
Satara,26,25,144,28.21,41.75,6.76,515.49,cotton
Nanded,76,82,150,31.02,51.64,6.34,999.07,mango
Wardha,44,62,191,32.5,48.08,5.53,147.03,jute
Parbhani,103,26,37,34.59,56.17,5.67,1051.73,pomegranate
Beed,90,67,14,33.7,58.98,7.09,518.86,rice
Nanded,115,119,162,33.51,84.28,6.75,179.79,mothbeans
Ahmednagar,52,125,125,20.56,83.22,6.78,152.18,mungbean
Beed,114,26,132,22.32,75.58,5.65,760.48,cotton
Dhule,98,104,45,21.49,55.98,5.83,449.01,mothbeans
Solapur,107,67,53,22.19,47.35,5.68,1152.0,jute
Beed,109,65,157,22.57,49.03,6.19,278.46,jute
Nanded,62,86,134,32.34,69.46,6.82,202.53,mungbean
Pune,27,23,63,22.53,83.96,6.45,1111.99,mango
Nanded,115,80,73,31.53,45.68,5.99,279.89,pomegranate
Solapur,123,35,78,20.87,75.55,6.62,720.08,lentil
Wardha,66,95,196,25.04,40.72,6.29,321.71,rice
Parbhani,136,61,42,28.1,56.76,6.52,944.89,lentil
Nagpur,36,98,172,34.29,56.08,6.04,508.69,mothbeans
Dhule,36,135,149,33.32,71.75,6.89,1045.83,mothbeans
Wardha,55,76,126,25.92,75.56,5.99,748.89,rice
Beed,62,84,189,34.43,50.06,5.67,477.33,rice
Satara,92,6,60,20.71,73.3,5.66,168.63,apple
Bhandara,59,82,138,23.59,78.75,7.48,430.89,papaya
Parbhani,115,55,136,28.07,68.14,6.3,330.76,mango
Satara,38,31,174,24.97,81.29,6.73,137.59,blackgram
Kolhapur,1,142,37,34.64,42.39,6.58,512.77,coffee
Pune,30,10,178,27.42,80.93,5.97,719.2,muskmelon
Jalgaon,135,130,69,25.21,55.83,5.64,406.4,banana
Nanded,55,105,201,28.96,65.16,6.08,497.19,cotton
Parbhani,0,85,186,27.47,77.87,6.19,302.44,lentil
Beed,3,125,92,24.96,44.58,6.35,543.86,kidneybeans
Pune,56,13,60,20.36,57.71,6.88,471.96,maize
Pune,10,45,90,24.49,69.41,6.16,508.13,banana
Pune,122,21,83,25.33,61.97,6.22,1086.18,mango
Nanded,101,74,58,33.81,56.06,6.91,664.85,chickpea
Beed,2,20,10,20.72,71.07,5.72,206.99,mungbean
Parbhani,55,141,158,24.23,47.65,6.17,889.41,kidneybeans
Aurangabad,138,20,34,27.81,63.0,6.99,318.21,kidneybeans
Nanded,59,123,200,29.38,52.81,6.71,1083.18,papaya
Latur,48,40,145,22.52,63.64,7.03,617.96,coconut
Nanded,16,18,79,23.56,76.43,6.14,671.39,banana
Nagpur,52,73,113,25.16,41.57,7.14,599.44,blackgram
Kolhapur,57,136,54,29.33,76.16,6.31,1030.09,pigeonpeas
Nagpur,17,19,172,22.64,60.85,6.52,145.35,papaya
Amravati,25,13,150,27.99,50.11,6.54,573.17,muskmelon
Amravati,122,55,47,21.8,72.82,6.58,285.29,rice
Akola,123,130,110,27.3,79.76,6.16,333.73,muskmelon
Beed,59,65,43,33.43,72.08,6.73,856.73,blackgram
Nagpur,61,108,100,24.5,62.27,6.19,284.66,banana
Osmanabad,54,23,127,26.49,49.71,6.39,617.89,cotton
Kolhapur,41,56,10,34.91,52.29,6.04,1066.98,apple
Jalgaon,39,11,31,34.8,77.34,5.68,732.83,kidneybeans
Solapur,114,104,114,21.02,67.86,5.58,923.84,banana
Jalgaon,87,88,28,20.6,44.03,6.46,835.29,watermelon
Sangli,121,84,26,24.11,89.59,7.15,913.03,lentil
Solapur,42,108,90,21.99,55.52,7.31,922.56,mungbean
Pune,52,144,179,23.15,54.8,7.35,521.7,pomegranate
Ahmednagar,58,110,26,31.57,86.5,6.27,795.51,watermelon
Wardha,131,100,132,29.13,63.54,5.94,673.06,mango
Akola,65,107,99,31.02,74.32,6.81,850.41,chickpea
Nanded,39,131,89,26.19,83.83,7.17,254.35,lentil
Beed,19,14,96,32.02,71.06,6.77,383.4,chickpea
Satara,120,120,36,25.21,59.93,5.71,170.89,coffee
Sangli,17,37,22,29.71,77.05,6.54,865.6,pigeonpeas
Pune,93,64,111,28.36,87.24,6.72,943.48,orange
Latur,52,38,195,27.16,67.98,5.64,372.66,chickpea
Aurangabad,49,65,10,26.23,49.68,6.9,139.22,mango
Wardha,87,133,19,29.04,59.46,6.55,794.51,orange
Dhule,25,33,119,30.51,69.55,7.39,831.74,kidneybeans
Nanded,110,42,24,28.15,69.9,6.2,1085.67,kidneybeans
Osmanabad,96,20,190,30.79,54.82,6.29,407.29,coffee
Sangli,104,5,68,21.35,58.74,7.22,509.42,watermelon
Aurangabad,3,51,197,24.85,48.1,6.42,958.49,maize
Solapur,14,125,30,27.53,72.63,6.05,232.8,orange
Osmanabad,5,20,123,23.2,45.67,7.5,117.44,coconut
Ahmednagar,22,108,120,22.0,89.61,5.8,202.23,lentil
Dhule,126,74,15,24.88,54.72,5.98,787.56,pigeonpeas
Pune,12,126,125,27.31,60.18,6.51,925.59,watermelon
Pune,110,73,17,21.36,45.93,7.27,900.36,orange
Aurangabad,50,31,164,32.73,88.24,6.91,420.23,papaya
Kolhapur,100,112,162,28.14,46.78,5.68,782.27,mungbean
Osmanabad,80,119,76,23.4,56.28,6.72,1076.19,coconut
Kolhapur,19,17,173,25.75,56.7,6.87,705.98,mothbeans
Ahmednagar,137,52,149,26.86,52.82,6.84,879.8,coconut
Nanded,61,90,138,24.12,72.44,6.9,465.42,jute
Solapur,27,20,71,32.65,86.16,6.04,133.69,kidneybeans
Amravati,3,130,156,29.72,48.84,7.0,922.55,maize
Wardha,105,30,185,23.72,64.3,7.26,1059.46,orange
Ahmednagar,34,75,50,32.85,46.75,6.96,122.24,jute
Akola,73,119,45,31.99,40.74,5.76,608.4,cotton
Beed,113,11,43,27.66,71.91,5.78,879.26,apple
Kolhapur,133,16,122,20.18,66.04,6.91,1149.46,pigeonpeas
Latur,2,67,116,29.82,62.77,6.04,739.75,papaya
Wardha,101,56,174,33.39,88.84,6.95,314.3,lentil
Akola,109,143,88,26.53,50.6,6.35,1007.41,cotton
Dhule,42,109,46,31.45,57.43,5.88,137.67,blackgram
Ahmednagar,6,39,98,34.45,86.65,5.73,435.33,banana
Pune,138,138,91,32.94,46.02,7.02,499.81,cotton
Wardha,98,86,90,20.21,48.63,6.76,1177.05,chickpea
Osmanabad,116,33,153,20.54,77.38,7.17,1046.19,papaya
Solapur,104,57,127,25.1,54.06,7.17,1085.95,muskmelon
Akola,4,53,91,23.21,76.81,6.55,670.69,mungbean
Wardha,13,67,129,33.47,86.71,6.45,740.46,pigeonpeas
Aurangabad,133,106,115,32.7,49.51,5.89,380.62,pigeonpeas
Amravati,98,48,162,25.42,43.13,7.43,915.68,chickpea
Beed,10,132,69,23.49,69.29,6.94,846.33,mungbean
Ahmednagar,127,51,162,24.46,45.43,6.4,890.7,pigeonpeas
Nagpur,132,121,32,23.56,84.07,5.79,253.73,pomegranate
Latur,94,54,49,33.26,86.91,6.58,968.82,chickpea
Osmanabad,27,39,114,23.75,77.22,5.72,524.77,rice
Latur,54,50,137,21.19,46.71,7.28,208.45,chickpea
Satara,63,108,187,26.27,44.62,5.53,172.34,coconut
Ahmednagar,49,113,79,32.8,80.62,5.62,385.15,watermelon
Amravati,76,28,163,28.25,84.49,5.86,536.55,coconut
Pune,25,21,39,24.39,52.15,6.56,824.25,rice
Nagpur,15,39,69,24.39,52.38,5.62,766.51,maize
Wardha,98,136,101,21.7,62.76,6.2,381.42,lentil
Aurangabad,3,103,124,23.6,79.1,6.16,130.95,maize
Sangli,35,85,73,23.18,42.25,7.22,1103.45,pomegranate
Kolhapur,2,38,16,28.8,41.0,6.36,1077.16,mango
Amravati,71,58,167,30.89,57.71,6.15,180.33,coffee
Solapur,98,69,126,29.32,88.47,5.58,904.33,muskmelon
Pune,56,49,79,28.9,75.39,6.62,779.7,orange
Satara,54,51,54,31.89,71.69,5.94,556.61,papaya
Parbhani,74,70,157,23.91,86.55,5.75,289.8,mango
Kolhapur,16,27,165,32.36,84.08,6.21,383.67,maize
Beed,84,13,95,26.68,88.49,6.63,358.87,kidneybeans
Sangli,129,29,63,27.27,83.47,6.56,249.83,cotton
Latur,17,112,109,31.57,44.54,6.61,966.32,maize
Nanded,106,85,148,26.41,54.13,6.35,623.85,mango
Aurangabad,78,31,27,25.95,88.65,6.61,1019.5,rice
Akola,107,14,64,20.59,55.73,6.73,921.35,pigeonpeas
Kolhapur,90,50,55,29.24,52.65,7.11,821.07,pigeonpeas
Latur,38,23,72,30.81,57.17,6.09,882.18,rice
Amravati,139,79,198,34.3,50.8,7.31,904.0,coffee
Osmanabad,61,39,191,23.97,62.56,7.01,414.3,mungbean
Bhandara,34,14,184,20.11,42.96,5.93,749.87,orange
Kolhapur,16,32,111,23.71,88.58,5.72,168.59,grapes
Akola,63,54,180,22.07,61.02,6.6,557.14,kidneybeans
Aurangabad,45,24,95,20.95,58.1,6.26,322.42,blackgram
Jalgaon,87,72,177,20.58,85.35,6.49,661.9,coconut
Osmanabad,20,100,118,31.79,70.14,5.59,380.88,apple
Wardha,140,6,182,27.91,69.85,6.45,167.61,cotton
Wardha,95,21,116,30.57,83.82,7.39,512.68,maize
Parbhani,49,84,88,32.74,72.16,6.78,537.48,mango
Nanded,7,63,111,33.03,65.92,7.41,633.03,mango
Ahmednagar,69,48,116,31.98,65.31,6.33,130.62,apple
Kolhapur,57,77,92,24.48,81.36,7.09,1034.04,jute
Akola,24,14,98,26.7,57.35,7.02,333.46,watermelon
Amravati,28,69,45,20.35,87.05,6.73,919.9,maize
Beed,12,46,72,20.66,85.05,7.24,259.8,blackgram
Osmanabad,12,51,190,21.49,84.76,6.0,702.81,coffee
Nanded,60,130,144,26.91,53.37,5.54,841.44,lentil
Dhule,73,27,181,28.15,76.49,5.81,556.3,apple
Ahmednagar,135,116,178,28.02,67.48,6.38,159.23,jute
Latur,60,100,5,23.5,79.77,7.45,835.74,mango
Nashik,55,85,90,23.82,65.36,6.4,618.63,maize
Satara,88,31,98,29.69,41.5,6.82,1016.18,papaya
Kolhapur,95,128,102,30.83,75.84,7.23,410.97,muskmelon
Satara,63,37,29,29.61,68.67,6.78,981.66,chickpea
Nanded,11,87,35,24.16,73.61,7.36,920.46,papaya
Aurangabad,15,6,12,34.23,76.03,6.82,344.94,maize
Nashik,130,129,75,27.96,47.97,6.13,1147.15,cotton
Bhandara,110,55,93,33.14,72.5,6.55,756.8,coconut
Satara,34,48,114,22.32,67.08,5.74,1145.12,jute
Wardha,77,75,150,31.05,82.32,7.03,128.47,pigeonpeas
Wardha,30,132,104,25.32,89.02,7.1,683.97,orange
Amravati,73,41,133,28.05,59.74,6.4,218.62,apple
Satara,125,56,97,34.59,46.67,6.64,975.56,papaya
Pune,81,115,66,24.68,42.26,7.34,394.98,muskmelon
Kolhapur,113,94,147,20.23,71.02,6.22,256.64,mothbeans
Wardha,12,72,17,21.54,75.48,6.6,640.1,pomegranate
Latur,9,91,25,30.2,42.14,6.28,443.66,rice
Sangli,53,47,134,22.79,80.65,5.88,372.78,orange
Kolhapur,91,46,81,28.38,74.81,5.99,192.01,lentil
Aurangabad,103,55,153,26.43,71.29,6.58,265.24,mungbean
Sangli,139,127,133,24.99,86.27,5.75,364.36,papaya
Osmanabad,62,144,153,24.22,54.51,5.93,769.36,jute
Wardha,21,73,160,30.82,86.88,6.14,1055.34,rice
Akola,97,73,205,24.19,85.88,7.3,1039.37,muskmelon
Wardha,2,119,106,25.75,59.88,7.29,463.42,jute
Nagpur,12,73,80,23.18,69.66,6.25,888.7,chickpea
Bhandara,30,15,65,26.99,60.0,6.15,1106.64,mothbeans
Sangli,58,76,42,25.61,65.46,7.06,974.92,grapes
Nashik,9,88,127,23.3,61.69,7.23,985.98,mothbeans
Beed,94,35,79,27.6,55.52,7.21,495.08,watermelon
Nanded,39,82,51,23.58,70.75,6.54,945.5,coffee
Satara,24,13,161,29.71,44.99,6.76,704.16,pomegranate
Solapur,109,112,145,33.01,55.96,5.91,1013.2,pomegranate
Parbhani,125,140,75,26.63,76.23,6.92,357.73,pomegranate
Latur,132,53,13,33.25,40.6,6.15,1196.15,blackgram
Jalgaon,110,71,128,22.0,71.45,6.19,998.49,cotton
Solapur,2,66,170,20.69,41.82,6.95,409.31,papaya
Nashik,102,99,96,28.54,58.71,7.36,855.88,jute
Pune,50,90,72,31.09,62.94,7.07,881.56,mango
Nashik,47,11,143,27.28,41.75,6.76,262.65,blackgram
Solapur,14,23,153,32.15,68.96,5.63,1041.0,muskmelon
Kolhapur,27,32,124,29.01,43.38,6.63,421.92,rice
Osmanabad,16,103,122,22.75,58.77,6.35,1010.53,coffee
Kolhapur,33,106,48,24.42,80.99,7.31,808.27,apple
Solapur,0,112,37,30.75,45.8,6.75,890.47,banana
Osmanabad,125,92,194,31.31,46.72,6.2,1098.42,grapes
Nashik,25,48,196,31.51,65.56,6.73,314.65,pigeonpeas
Latur,108,7,45,23.13,71.27,5.82,527.59,kidneybeans
Solapur,28,70,102,26.96,44.7,7.1,986.47,coconut
Solapur,83,53,43,29.88,85.17,6.22,410.51,banana
Latur,52,13,106,33.06,70.2,7.13,669.92,chickpea
Kolhapur,69,37,119,34.58,88.61,5.93,511.53,orange
Dhule,21,62,130,21.6,41.5,6.01,923.77,pigeonpeas
Wardha,55,133,147,30.54,54.47,6.66,829.6,coffee
Aurangabad,20,114,142,20.32,54.19,6.94,495.21,chickpea
Sangli,39,58,203,27.27,87.43,7.09,797.7,apple
Aurangabad,23,70,88,20.75,72.85,5.74,363.25,blackgram
Osmanabad,58,143,126,22.68,71.02,6.73,563.47,papaya
Nanded,93,54,120,25.92,82.05,6.42,394.03,lentil
Dhule,8,33,116,30.1,45.2,5.95,827.92,watermelon
Nagpur,130,127,5,30.69,67.12,6.34,951.06,apple
Parbhani,87,97,148,27.33,43.21,6.77,244.58,orange
Latur,128,33,25,33.48,62.82,5.86,1062.63,mungbean
Akola,107,138,137,29.57,64.27,6.29,1107.04,blackgram
Latur,115,135,83,27.53,43.08,5.58,729.47,coffee
Jalgaon,61,30,13,31.31,74.5,6.22,696.03,muskmelon
Osmanabad,87,87,40,25.35,69.81,6.1,764.08,papaya
Wardha,33,5,38,34.74,65.58,7.47,1138.25,mothbeans
Amravati,65,28,81,27.75,53.06,7.26,829.12,lentil
Akola,70,9,148,30.54,40.55,6.42,364.72,blackgram
Solapur,90,95,21,32.69,85.14,5.94,151.21,jute
Bhandara,3,47,204,32.58,54.93,6.81,928.78,jute
Dhule,115,30,134,34.32,77.7,7.12,512.33,grapes
Parbhani,86,123,26,22.5,72.85,5.82,848.51,banana
Aurangabad,124,118,63,21.31,60.04,6.96,748.47,jute
Ahmednagar,22,134,130,22.11,58.57,6.5,422.89,lentil
Amravati,122,11,120,27.52,48.21,6.18,1148.89,apple
Nanded,96,124,148,31.43,49.95,5.9,837.21,orange
Jalgaon,100,90,126,26.33,71.05,6.33,206.88,mothbeans
Nagpur,135,38,116,30.32,69.1,5.99,227.42,watermelon
Jalgaon,112,59,169,31.56,81.03,6.88,730.96,coconut
Sangli,44,35,78,26.49,40.16,7.31,863.22,blackgram
Jalgaon,44,13,57,29.98,89.85,7.41,492.19,rice
Nagpur,130,20,149,20.89,86.73,7.26,578.8,blackgram
Bhandara,107,117,32,22.53,74.9,5.71,705.41,muskmelon
Aurangabad,91,78,111,31.79,72.61,5.65,1081.33,grapes
Wardha,74,66,144,25.4,52.82,6.89,1139.48,banana
Ahmednagar,70,66,131,34.12,45.99,6.63,492.37,orange
Nashik,131,97,102,29.54,40.62,6.9,521.54,kidneybeans
Dhule,128,113,153,30.68,66.33,6.82,346.74,lentil
Jalgaon,117,102,25,33.82,44.96,7.11,300.6,pigeonpeas
Amravati,1,80,121,27.05,89.43,6.15,550.66,coconut
Satara,115,69,98,27.17,42.8,6.16,838.68,lentil
Ahmednagar,30,81,59,32.04,77.67,6.17,1054.71,banana
Nashik,124,41,165,34.61,53.58,6.77,808.16,cotton
Latur,64,16,119,27.9,43.0,6.23,1031.17,orange
Latur,66,39,98,30.05,87.35,5.77,981.21,banana
Nashik,92,142,84,32.75,78.58,6.7,222.29,mango
Satara,71,96,142,28.27,63.01,7.47,489.55,coffee
Solapur,72,50,187,25.85,76.91,6.01,686.74,cotton
Dhule,125,139,103,30.59,86.75,7.09,828.87,orange
Parbhani,83,93,34,31.32,54.7,5.57,137.53,jute
Amravati,47,46,72,27.77,46.95,6.52,214.62,coffee
Beed,81,35,66,31.5,57.75,7.0,1117.77,maize
Solapur,122,124,49,32.52,45.33,5.64,871.6,coconut
Nanded,88,109,168,24.78,60.49,5.73,564.91,muskmelon
Jalgaon,40,123,69,34.11,57.09,6.12,790.27,apple
Latur,122,13,75,23.03,64.12,5.6,757.09,chickpea
Dhule,127,142,86,23.96,80.62,6.82,771.09,grapes
Nashik,72,59,181,22.16,74.65,7.06,1163.6,mothbeans
Amravati,103,54,142,32.88,86.44,6.52,332.89,coconut
Amravati,115,31,55,23.58,55.44,7.36,640.8,pigeonpeas
Latur,119,99,138,25.49,61.9,6.95,183.76,apple
Wardha,0,33,148,22.94,77.57,7.19,744.34,coffee
Nanded,81,27,160,22.44,73.4,6.61,1121.72,watermelon
Bhandara,43,119,16,27.43,57.14,6.17,932.31,mango
Kolhapur,100,123,173,24.03,60.96,7.32,268.85,orange
Amravati,72,55,199,22.97,79.03,6.09,766.31,chickpea
Nagpur,23,62,188,34.21,69.67,6.46,887.1,mungbean
Amravati,108,52,39,25.39,70.49,5.51,286.71,lentil
Amravati,136,97,193,26.48,54.92,6.2,1193.73,apple
Parbhani,62,39,34,26.12,72.18,5.91,1087.87,mungbean
Latur,82,90,144,32.11,44.91,6.72,1105.61,blackgram
Beed,5,36,20,29.35,58.32,5.91,477.36,lentil
Pune,129,7,25,23.93,68.52,6.85,944.63,pigeonpeas
Beed,115,129,174,20.94,56.4,5.56,476.61,jute
Solapur,70,95,30,29.89,62.45,6.34,1145.75,pigeonpeas
Beed,112,41,177,30.35,51.59,5.52,586.43,mothbeans
Osmanabad,135,37,113,25.69,67.96,7.12,198.08,pigeonpeas
Kolhapur,6,19,98,29.62,44.58,7.27,933.36,lentil
Jalgaon,35,102,150,32.39,47.19,7.28,541.79,chickpea
Ahmednagar,61,101,117,29.29,43.32,5.71,851.63,banana
Latur,13,21,91,27.29,50.59,6.24,1019.97,muskmelon
Nanded,6,108,49,26.06,48.49,6.4,730.52,blackgram
Sangli,69,24,203,21.98,41.33,7.48,582.28,kidneybeans
Latur,138,92,45,29.8,62.95,6.19,622.58,coffee
Wardha,36,139,98,29.01,85.76,6.12,817.36,pomegranate
Jalgaon,44,12,104,26.71,70.48,7.46,823.93,mungbean
Ahmednagar,34,78,191,22.43,50.52,6.97,838.41,blackgram
Bhandara,71,100,60,34.0,70.19,6.43,938.9,banana
Ahmednagar,22,60,169,26.71,43.16,6.48,970.63,rice
Aurangabad,109,18,194,30.4,56.9,7.19,707.86,mothbeans
Akola,77,79,172,23.07,55.67,6.7,1036.9,mothbeans
Pune,29,82,53,25.83,57.62,6.76,1026.2,coffee
Jalgaon,17,8,5,30.24,75.85,5.5,277.6,orange
Nagpur,60,93,163,28.17,60.15,5.91,1043.09,blackgram
Aurangabad,57,130,109,33.94,58.39,6.17,433.86,mothbeans
Pune,12,125,132,31.19,69.62,7.44,474.36,muskmelon
Osmanabad,114,112,54,33.27,79.51,5.83,600.27,watermelon
Solapur,42,77,127,30.84,71.25,6.66,840.31,watermelon
Parbhani,38,117,80,26.84,58.54,6.82,976.17,chickpea
Sangli,139,115,199,29.96,71.37,7.14,226.67,blackgram
Kolhapur,98,24,98,30.92,75.11,6.87,360.19,pigeonpeas
Aurangabad,89,84,22,26.67,89.07,5.99,948.4,pigeonpeas
Osmanabad,93,58,130,34.78,41.88,6.58,438.28,pigeonpeas
Beed,96,73,186,22.4,57.45,7.42,750.24,jute
Nashik,50,83,202,20.9,58.87,5.8,162.24,muskmelon
Latur,114,55,141,28.11,78.66,5.56,1002.07,apple
Solapur,112,98,92,23.34,81.17,5.92,842.22,rice
Ahmednagar,78,100,40,30.58,81.48,5.73,555.12,orange
Nanded,49,142,180,25.2,75.81,6.93,361.01,lentil
Amravati,87,18,63,23.85,59.74,6.04,621.05,cotton
Nagpur,137,64,16,26.96,72.09,7.24,739.76,cotton
Beed,47,22,24,26.12,47.85,5.96,207.93,grapes
Ahmednagar,1,22,67,30.47,65.92,6.56,706.49,pigeonpeas
Sangli,64,145,50,31.35,42.43,7.21,1095.35,kidneybeans
Parbhani,24,78,21,20.23,81.06,6.31,745.92,kidneybeans
Ahmednagar,101,79,160,24.3,84.71,6.45,535.73,muskmelon
Sangli,15,58,150,27.15,72.07,7.03,1016.74,grapes
